location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost,ctr,conv_rate,cpa,cpc,eCPM,view_rate,vCPM
"Rockford, Illinois",Rockford,Illinois,Rockford,US>Interest Propensities>Activities and Interests>International News,300x50,Subscribe Today - 10% Discount,Illinois,bridesblush.com,Google Ad Manager,Smartphone,9946,20,4818,7382,3,1525.962329,0.0020108586366378444,0.15,508.65410966666667,76.29811645,153.42472642268248,0.6526686534814413,316.72111436280613
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Intent>Auto Buyers>Car Make>Nissan,320x50,Subscribe Today - 10% Discount,Florida,britannica.com,Google Ad Manager,Smartphone,8068,10,5545,7554,1,5995.041002,0.0012394645513138325,0.1,5995.041002,599.5041002,743.0640805651958,0.7340481863913159,1081.1615873760143
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Life Event>Bride,320x50,Subscribe Today - 10% Discount,Tennessee,businessinsider.com,TripleLift,Smartphone,11919,69,8100,11524,2,6350.916905,0.005789076264787314,0.028985507246376812,3175.4584525,92.04227398550725,532.8397436865508,0.7028809441166262,784.0638154320987
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Life Event>Engagement,320x50,Sign up Today - 10% Off,Florida,businessinsider.com,Google Ad Manager,Smartphone,35163,250,21222,33671,15,6336.7181,0.007109746039871456,0.06,422.44787333333335,25.3468724,180.2098256690271,0.6302753110985715,298.59193761191216
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>The Changing Consumer>Internet Connection,300x250,10% Discount - Ends 6/1,Illinois,businessinsider.com,Google Ad Manager,Windows PC,27202,70,5202,23474,11,4253.979116,0.0025733401955738548,0.15714285714285714,386.7253741818182,60.77113022857144,156.38479214763623,0.22160688421232003,817.7583844675125
"Los Angeles, California",Los Angeles,California,Los Angeles,Lotame>Personal Finance>Estate Planning,320x50,Subscribe Today - 10% Discount,California,businessinsider.com,Google Ad Manager,Smartphone,59782,212,28235,57543,13,1455.703554,0.003546217925127965,0.06132075471698113,111.97719646153845,6.866526198113207,24.350198287109833,0.4906765375458353,51.55670458650611
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Sports>Team Sports>Volleyball,300x250,Subscribe Today - 10% Discount,Tennessee,buzzfeed.com,Yieldmo,Apple PC,10066,63,6978,9369,19,6879.587097,0.006258692628650904,0.30158730158730157,362.0835314210526,109.19979519047618,683.4479532088218,0.744796669868716,985.8966891659501
"Chicago, Illinois",Chicago,Illinois,Chicago,Mobile>US>Food>Restaurant>Brand>Outback Steakhouse,300x250,Subscribe Today - 10% Discount,Illinois,buzzfeed.com,TripleLift,Smartphone,11296,54,6822,9274,4,1682.338499,0.0047804532577903685,0.07407407407407407,420.58462475,31.154416648148146,148.93223256019832,0.7356049169721803,246.60488111990617
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Sports>Sporting Goods,320x50,Sign up Now - 10% Off,Tennessee,calculator.net,Google Ad Manager,Smartphone,18633,60,9424,18087,15,6785.063293,0.0032200933827080985,0.25,452.33755286666667,113.08438821666667,364.142290184082,0.5210372090451706,719.9770047750425
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>News>Newspapers,320x50,10% Discount - Ends 6/1,New York,calculator.net,PubMatic,Smartphone,37176,100,31829,35639,21,6753.595242,0.002689907467183129,0.21,321.59977342857144,67.53595242,181.6654627178825,0.893094643508516,212.18370800213643
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,Online Behavior>United States>Sports>Winter Sports>Skiing and Snowboarding,320x50,10% Discount - Ends 6/1,Tennessee,calculator.net,Google Ad Manager,Smartphone,29251,95,25060,28038,8,5994.746834,0.003247752213599535,0.08421052631578947,749.34335425,63.10259825263157,204.94160315886634,0.8937870033525929,239.21575554668792
"Mobile, Alabama-Pensacola, Florida",Mobile,Alabama,Mobile,US>Reach>Propensity Models>Household Consumer Expenditures>Home Office,320x50,Subscribe Today - 10% Discount,"Alabama-Pensacola, Florida",calculator.net,Index Exchange,Smartphone,36431,108,31262,35043,11,3285.834522,0.00296450824846971,0.10185185185185185,298.71222927272726,30.424393722222224,90.19336614421785,0.8921039865308336,105.1063438679547
"Chicago, Illinois",Chicago,Illinois,Chicago,OnAudience>Intent>Sporting Goods,300x250,Sign up Now - 10% Off,Illinois,calculator.net,PubMatic,Smartphone,22004,80,18735,21127,4,1632.472782,0.0036357025995273585,0.05,408.1181955,20.405909775,74.18981921468824,0.8867799498272353,87.13492297838272
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,"Online Behavior>United States>Intent>Shopping>Consumer Electronics>Computers, Laptops",320x50,Sign up Today - 10% Off,Tennessee,cargurus.com,Yahoo Exchange,Smartphone,16644,10,5055,15831,5,6386.464232,6.00817111271329e-4,0.5,1277.2928464000001,638.6464232000001,383.70969911079067,0.31931021413682015,1263.3954959446094
"Tallahassee, Florida-Thomasville, Georgia",Tallahassee,Florida,Tallahassee,Online Behavior>United States>Sports>Fantasy Sports,320x50,Sign up Now - 10% Off,"Florida-Thomasville, Georgia",cargurus.com,Index Exchange,Smartphone,45285,190,30225,43298,11,4728.012406,0.004195649773655736,0.05789473684210526,429.81930963636364,24.88427582105263,104.40570621618637,0.6980691948819807,156.42720946236557
"Huntsville-Decatur (Florence), Alabama",Huntsville-Decatur (Florence),Alabama,Huntsville,US>Interest Propensities>Oil & Gas>QuickTrip,320x50,Subscribe Today - 10% Discount,Alabama,cargurus.com,Index Exchange,Smartphone,16227,40,9438,15611,3,1991.94384,0.0024650274234300855,0.075,663.98128,49.798595999999996,122.75490478831576,0.604573698033438,211.05571519389702
"Memphis, Tennessee",Memphis,Tennessee,Memphis,OnAudience>Interest>Shopping>Shopping Mall Buyers,300x250,Sign up Now - 10% Off,Tennessee,cargurus.com,Sharethrough,Smartphone,7409,10,5009,7160,12,1472.110115,0.0013497098123903361,1,122.67584291666667,147.21101149999998,198.69214671345662,0.6995810055865922,293.89301557197047
